profile,gender,birthday,favorites_anime,link
Eoussama,Male,27-Jun-98,"['37510', '4181', '21', '2035']",https://myanimelist.net/profile/Eoussama
Aphyxia,Male,23-Aug,"['1575', '2904', '934', '4654', '5081']",https://myanimelist.net/profile/Aphyxia
Shirayukishi,Female,,"['20', '877', '19', '4081', '12531', '12355']",https://myanimelist.net/profile/Shirayukishi
Creeperface,Female,2-Jun,[],https://myanimelist.net/profile/Creeperface
ParaParaJMo,Male,24-Jun-84,"['1362', '263', '81', '2402', '85', '37991']",https://myanimelist.net/profile/ParaParaJMo
ChouEritto,Male,,"['820', '2921', '32', '30', '5114', '2402', '33', '1210', '10937', '338']",https://myanimelist.net/profile/ChouEritto
Yakarin,Female,17-Jul,"['4081', '1524', '457', '477', '3345', '33352', '31964', '22789', '21', '20507']",https://myanimelist.net/profile/Yakarin
Paulwillson26,Male,25-Sep,"['44', '5177', '256', '387', '9253']",https://myanimelist.net/profile/Paulwillson26
Eneko-chan,Female,13-Dec-89,"['2164', '153', '584', '60', '182']",https://myanimelist.net/profile/Eneko-chan
Lima-Sama,Male,21-May-65,"['21', '223', '20', '11061']",https://myanimelist.net/profile/Lima-Sama
Algirdyz,Male,14-Jul-92,"['820', '26', '457', '32', '875']",https://myanimelist.net/profile/Algirdyz
Baconzombie,Male,29-Jun-95,"['3297', '820', '19', '387', '1827', '457', '2251', '467', '5114', '329']",https://myanimelist.net/profile/Baconzombie
skankfish,Male,19-Feb-84,[],https://myanimelist.net/profile/skankfish
AlexJetski,Male,16-May-00,"['14719', '820', '7785', '26', '10721', '9996', '31646', '10087', '3002', '2559']",https://myanimelist.net/profile/AlexJetski
steampunkvillain,Male,14-May-90,"['9253', '7588', '790']",https://myanimelist.net/profile/steampunkvillain
IceAndCream,,,"['5114', '5530', '2158', '1827', '7588']",https://myanimelist.net/profile/IceAndCream
BienAgiter,Male,12-Jan-91,"['2904', '4181', '5114', '3784', '6594']",https://myanimelist.net/profile/BienAgiter
bleeb,Female,7-Jul-90,"['431', '114', '1205', '3326']",https://myanimelist.net/profile/bleeb
Jolon,,,"['39071', '444', '7588', '2942', '3297', '820']",https://myanimelist.net/profile/Jolon
Seabury,Male,26-Dec-88,"['30', '440', '199', '514', '572', '34522']",https://myanimelist.net/profile/Seabury
Fleure,Female,,"['440', '3297', '457', '22135', '877']",https://myanimelist.net/profile/Fleure
Jodyqt,Male,21-Jan-91,"['2828', '2402', '801', '795', '2623', '820', '2257', '283', '2001', '10721']",https://myanimelist.net/profile/Jodyqt
Lindle,Non-Binary,6-Aug-91,"['820', '7785', '1', '22135', '43', '585', '7588', '25835', '2921', '32']",https://myanimelist.net/profile/Lindle
ZephSilver,Male,30-Nov-93,"['790', '285', '570', '1299', '239', '457', '801', '1025', '543', '885', '820', '19', '634', '949', '205', '7588', '455', '877', '1029', '283']",https://myanimelist.net/profile/ZephSilver
Mimi_Taylor,Female,2-Oct-88,"['12029', '820', '2158', '455', '97', '584', '5074', '19', '523', '2154']",https://myanimelist.net/profile/Mimi_Taylor
Detective,Male,31-Aug,"['32', '199', '4224', '19', '7785', '31933', '849', '6774', '7062', '36817', '9756']",https://myanimelist.net/profile/Detective
sillikorae,,,['4181'],https://myanimelist.net/profile/sillikorae
InsaneMooseCat,Male,5-Apr-98,"['11617', '13759', '12467', '4744', '857']",https://myanimelist.net/profile/InsaneMooseCat
theillusionary,Male,10-Apr-96,"['1530', '4181', '2167']",https://myanimelist.net/profile/theillusionary
Jakerams,Male,2-May-94,"['193', '7674', '5941', '34822', '3455', '10800', '3731', '12531', '16067', '10460', '24405', '2129', '125', '34934', '1555', '355', '237', '257', '6114', '31710']",https://myanimelist.net/profile/Jakerams
showandAG,Male,25-Jun-96,"['5114', '205', '245', '1575', '4181', '16498', '889', '813', '33', '1530']",https://myanimelist.net/profile/showandAG
xScHeiZe,Female,2-Jun-93,"['4181', '9253', '30276', '34599', '37779']",https://myanimelist.net/profile/xScHeiZe
ChildHatchling,Male,12-Sep-96,"['9213', '2787', '355', '8407']",https://myanimelist.net/profile/ChildHatchling
Lohuydahutt,Male,19-Mar,"['17074', '6594', '12189', '7785', '35180', '437', '37999', '23847', '9253', '820']",https://myanimelist.net/profile/Lohuydahutt
Victor_Lighty,Male,26-Sep,"['1535', '1889', '934', '4181', '2167']",https://myanimelist.net/profile/Victor_Lighty
Vedan,Male,26-Mar-98,"['813', '31051', '28907', '13759', '11771', '2167', '30694', '12413']",https://myanimelist.net/profile/Vedan
TabiNoTochuu,Male,30-Jun,"['4789', '2924', '5341', '6547', '4181']",https://myanimelist.net/profile/TabiNoTochuu
AlexanderMaya,,19-Jan-99,"['32182', '35557', '59', '33003', '20853', '1041', '37991', '1735', '513', '885']",https://myanimelist.net/profile/AlexanderMaya
LoveArrowShooto,Male,27-Nov-96,"['4181', '7791', '15051', '30296', '21327', '25519', '14289', '1530', '13655', '28171']",https://myanimelist.net/profile/LoveArrowShooto
For_Reign,Male,11-Dec-88,"['249', '20507', '2966', '7724', '10372', '813', '31964', '22297', '10087']",https://myanimelist.net/profile/For_Reign
vanmarckestevy,Male,2-Dec-82,"['26', '457', '43', '339', '227', '16664']",https://myanimelist.net/profile/vanmarckestevy
BTDee,Female,16-Oct-96,"['23755', '16067', '16498', '34572', '8074', '39533', '35790', '18115', '11665']",https://myanimelist.net/profile/BTDee
Asasphinx,,,"['232', '66', '77', '934', '4282', '7311', '9253', '14131', '18679', '4087']",https://myanimelist.net/profile/Asasphinx
LegendAqua,Male,10-Apr,"['32843', '2787', '2001', '37991', '13601', '232', '31988', '10087', '9253', '10278']",https://myanimelist.net/profile/LegendAqua
CinaGinger,Female,,"['431', '1698', '30736', '33489', '1375', '34599', '4087', '12431', '16', '19']",https://myanimelist.net/profile/CinaGinger
LandingZone,Male,22-Jun,"['37965', '18679', '33489', '37450', '35788', '28171', '36456', '32937', '33486', '4224']",https://myanimelist.net/profile/LandingZone
ryuichi_crosszer,Female,11-Jul,"['12711', '22', '7058', '235', '3092']",https://myanimelist.net/profile/ryuichi_crosszer
Makimidorikawa,,,[],https://myanimelist.net/profile/Makimidorikawa
MoriHimari,Female,12-Apr,"['23273', '350', '10721', '6045', '1604', '15061', '28297']",https://myanimelist.net/profile/MoriHimari
Fire,Male,28-Apr-00,"['7674', '21185', '14075', '9253', '31043', '21995', '32729', '2034', '38524', '27775']",https://myanimelist.net/profile/Fire
jc9622,Male,27-Nov-20,"['7311', '28851', '11981', '9253', '37786', '35180', '39198', '31240', '23847', '21327', '35839', '17074', '36296', '4725', '28907', '33486']",https://myanimelist.net/profile/jc9622
SmilingSakura,,,"['1887', '2164', '8425', '4181', '584', '9756', '12149']",https://myanimelist.net/profile/SmilingSakura
KnicePerson,,,"['23273', '33255', '30015', '24833']",https://myanimelist.net/profile/KnicePerson
thesailingship,,,"['9930', '21469']",https://myanimelist.net/profile/thesailingship
Dcm18,Male,28-Feb-91,"['30', '813', '268', '1', '5114']",https://myanimelist.net/profile/Dcm18
ktulu007,Male,10-Jan-86,[],https://myanimelist.net/profile/ktulu007
Firechick12012,Female,25-Jun-93,"['1557', '6211', '4081', '2623', '604', '1695', '387', '338', '2199']",https://myanimelist.net/profile/Firechick12012
88expert,Male,17-Dec-97,"['721', '2559', '23273', '32483', '1826', '35222', '33314', '32951', '32673']",https://myanimelist.net/profile/88expert
Darynlxm,Male,31-Mar-86,"['6547', '853', '849']",https://myanimelist.net/profile/Darynlxm
PokeFan2112,Male,7-Oct-01,"['527', '249', '1122', '1120', '1117', '1118', '528', '6811', '740', '530']",https://myanimelist.net/profile/PokeFan2112
Shaja,,,"['210', '300', '566', '1293']",https://myanimelist.net/profile/Shaja
kayori1928,Female,,"['136', '1575', '10087', '10620', '150']",https://myanimelist.net/profile/kayori1928
Marii-nyan,Female,12-Apr-98,"['5680', '7791', '10620', '22199', '6547', '10495', '6045', '4181']",https://myanimelist.net/profile/Marii-nyan
Falco2424,Male,18-Jun-94,"['32', '19', '145', '339', '820', '26', '1', '31757', '1575', '44']",https://myanimelist.net/profile/Falco2424
Dante012,Male,,"['2581', '4181', '2904']",https://myanimelist.net/profile/Dante012
Pixeldrum,,,[],https://myanimelist.net/profile/Pixeldrum
Crack-san,Male,18-Nov-98,"['1575', '23283', '16742', '10165', '9253', '7791', '14075', '9756', '12189', '6746']",https://myanimelist.net/profile/Crack-san
jmsxjrdn,Male,10-Mar-87,"['7674', '11061', '35062', '9253', '34561', '3167', '22535', '21', '28223', '35557']",https://myanimelist.net/profile/jmsxjrdn
dirtbum,Non-Binary,,"['10165', '35838', '38753', '227', '10162', '12355', '35968', '37450', '35839']",https://myanimelist.net/profile/dirtbum
DarkSoul218,,,[],https://myanimelist.net/profile/DarkSoul218
Otaku1985,Male,8-Feb-85,"['10165', '19', '5081', '9253', '12355', '323', '164', '820', '43', '1689']",https://myanimelist.net/profile/Otaku1985
FukaseKun,,14-May,"['31964', '38000', '20', '20583', '32182', '1735']",https://myanimelist.net/profile/FukaseKun
TK8878,Male,28-Sep,"['9756', '11741', '12189', '4224', '9253']",https://myanimelist.net/profile/TK8878
cappedea,Male,,"['5114', '849', '32281', '4181', '35839']",https://myanimelist.net/profile/cappedea
rondoblend,Male,,"['5114', '21', '516']",https://myanimelist.net/profile/rondoblend
Moebeetus,,23-Jan-95,"['7791', '16732', '14967', '16592', '530']",https://myanimelist.net/profile/Moebeetus
Pavuss,Female,29-Mar-99,[],https://myanimelist.net/profile/Pavuss
PixlReality,Male,19-Dec-98,"['13601', '23273', '457', '16067', '9253', '7791', '31043', '18679', '7724', '4224']",https://myanimelist.net/profile/PixlReality
highofftap,Male,,"['1210', '28851', '9253', '934', '226', '22535', '2104', '31240', '634', '57']",https://myanimelist.net/profile/highofftap
nonameacquired,Male,28-Mar-03,"['32281', '32', '339', '30', '33489']",https://myanimelist.net/profile/nonameacquired
DanevsAnime,Male,13-Sep-96,"['21647', '9289', '6802', '2963', '855', '9756', '2013', '5680', '31376']",https://myanimelist.net/profile/DanevsAnime
Zeroark,Male,14-Feb-89,"['2476', '19369', '5909', '2167', '8861']",https://myanimelist.net/profile/Zeroark
tex33hunter,,,"['12413', '13331', '28907', '38680']",https://myanimelist.net/profile/tex33hunter
SkyeRwby,,,[],https://myanimelist.net/profile/SkyeRwby
_Ghastly_Grimm_,,,[],https://myanimelist.net/profile/_Ghastly_Grimm_
Rizkiawan-kun,Male,26-Oct-99,"['3297', '9253', '4181', '9969', '1889', '5114', '13125', '35180', '35839', '5420']",https://myanimelist.net/profile/Rizkiawan-kun
palmeister21,Male,7-Jun-95,"['12549', '2904', '1575']",https://myanimelist.net/profile/palmeister21
kuudere-ish,Female,8-Jan,"['23283', '7791', '13601', '16498']",https://myanimelist.net/profile/kuudere-ish
Ali_19,Male,25-Jul-98,"['4181', '1575', '18897', '1535', '21', '269', '23273', '16498', '23847', '31240']",https://myanimelist.net/profile/Ali_19
iEmnesty,Male,14-Oct-97,"['7791', '5341', '226', '9989', '5630']",https://myanimelist.net/profile/iEmnesty
Treima,Male,19-Sep-89,"['9756', '10087', '19815', '5114', '32281', '13601', '10165', '9253', '11061', '30']",https://myanimelist.net/profile/Treima
laigle-noir,Male,,"['10568', '120', '2966', '5680', '11887', '33352']",https://myanimelist.net/profile/laigle-noir
ShelbyWAO,Female,28-Nov-00,['5680'],https://myanimelist.net/profile/ShelbyWAO
usaking,Male,24-Mar-91,"['7311', '4181', '3297', '339', '457', '1530', '199', '33352', '164', '10165', '26', '24', '578', '4981', '6547', '35838', '35180', '14741', '34599', '1887']",https://myanimelist.net/profile/usaking
firebug,Male,12-Jul-82,"['5680', '66']",https://myanimelist.net/profile/firebug
gunny1993,Male,16-Apr-93,"['6547', '5680']",https://myanimelist.net/profile/gunny1993
gayanime,Female,1996,"['1', '27989', '32182', '30', '232']",https://myanimelist.net/profile/gayanime
worldsend007,Female,17-Jan-90,"['1', '210', '249', '440', '6811']",https://myanimelist.net/profile/worldsend007
Bsum,Male,4-May-98,"['31043', '7791', '9253', '22535', '20', '16498']",https://myanimelist.net/profile/Bsum
dragafire,Male,31-Oct-90,"['21', '57', '205', '237', '267']",https://myanimelist.net/profile/dragafire
Monikon,Female,20-Jul-03,"['5958', '5680']",https://myanimelist.net/profile/Monikon
swc1098,Male,,"['477', '10087', '9253', '4181', '16498']",https://myanimelist.net/profile/swc1098
Howwl,Female,31-Oct-96,[],https://myanimelist.net/profile/Howwl
DustPotato,Male,11-Jan-94,"['19815', '10456', '12487', '2904', '11757', '10568', '15039', '2167']",https://myanimelist.net/profile/DustPotato
Phoenix_Trite,Male,17-Nov-96,"['7791', '527', '18195', '14511', '23327', '2001', '5341', '30279', '1519', '28171']",https://myanimelist.net/profile/Phoenix_Trite
KomanoOhta,Male,22-Apr-99,"['14719', '5081', '9756', '2001', '1', '3002', '30', '9253', '227', '239']",https://myanimelist.net/profile/KomanoOhta
Zomino,Male,1-Jul-96,"['16894', '3297', '263', '16918', '9253']",https://myanimelist.net/profile/Zomino
CorrinPiy,,,[],https://myanimelist.net/profile/CorrinPiy
